date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,lppl_vote,positive_lppl_vote,negative_lppl_vote,trend_buy_vote,trend_sell_vote,vol_buy_vote,vol_sell_vote,drawdown_buy_vote,drawdown_sell_vote,buy_votes,sell_votes,buy_streak,sell_streak,cooldown_remaining,buy_reentry_block_remaining,holding_bars,positive_regime_id,negative_regime_id,atr_ratio,price_drawdown,recent_drawdown_min,vol_position_cap,positive_days_left,negative_days_left,positive_consensus,negative_consensus
2020-03-18,000016.SH,2695.42,2724.3,2625.6,2625.75,37681392.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.4936033440471654,-0.1435882047886653,-0.1435882047886653,1.0,,,0.0,0.6128250786097859
2020-03-19,000016.SH,2611.75,2630.05,2517.3,2569.79,49523528.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.4866664254559474,-0.16184005818675207,-0.16184005818675207,1.0,,,0.0,0.6128250786097859
2020-03-20,000016.SH,2597.98,2636.14,2580.36,2628.42,37231436.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.4119289114639841,-0.1427173604610582,-0.16184005818675207,1.0,,,0.0,0.6128250786097859
2020-03-23,000016.SH,2548.85,2586.11,2548.0,2559.62,32549721.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.4322118770514412,-0.1651570944458397,-0.1651570944458397,1.0,,,0.0,0.5775938197438999
2020-03-24,000016.SH,2608.24,2641.87,2592.61,2639.38,36868414.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.4626870963068836,-0.12547422690659926,-0.1651570944458397,1.0,,,0.0,0.5775938197438999
2020-03-25,000016.SH,2700.1,2711.12,2681.09,2700.19,38491194.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.4266233812837783,-0.10532558886970811,-0.1651570944458397,1.0,,,0.0,0.5775938197438999
2020-03-26,000016.SH,2676.62,2716.34,2673.44,2689.28,28226021.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.3826699560873486,-0.10894048183110394,-0.1651570944458397,1.0,,,0.0,0.5775938197438999
2020-03-27,000016.SH,2722.47,2733.52,2701.44,2701.44,35386945.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.295847066084696,-0.10491141689887906,-0.1651570944458397,1.0,,,0.0,0.5775938197438999
2020-03-30,000016.SH,2667.12,2696.33,2664.72,2690.04,34049707.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.2326465293058617,-0.10868866527283993,-0.1651570944458397,1.0,,,0.0,0.5707181697813344
2020-03-31,000016.SH,2713.5,2716.02,2684.21,2689.38,30299038.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.2153045582575825,-0.10890734807343772,-0.1651570944458397,1.0,,,0.0,0.5707181697813344
2020-04-01,000016.SH,2684.5,2722.33,2680.08,2682.08,27519373.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1875785154845584,-0.11132611238307932,-0.1651570944458397,1.0,,,0.0,0.5707181697813344
2020-04-02,000016.SH,2667.94,2719.89,2665.81,2719.89,28730893.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1015816881474403,-0.09879823860944259,-0.1651570944458397,1.0,,,0.0,0.5707181697813344
2020-04-03,000016.SH,2707.82,2720.84,2697.83,2708.82,24444559.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0027138771607003,-0.1024661455831044,-0.1651570944458397,1.0,,,0.0,0.5707181697813344
2020-04-07,000016.SH,2756.27,2762.31,2743.16,2757.41,35954651.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9448634827869601,-0.08636645273303811,-0.1651570944458397,1.0,,,0.0,0.6977324444159554
2020-04-08,000016.SH,2742.36,2753.49,2736.09,2743.89,25401676.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8607231966948079,-0.09084613676952502,-0.1651570944458397,1.0,,,0.0,0.6977324444159554
2020-04-09,000016.SH,2754.72,2760.59,2749.42,2752.59,23820497.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7567658602515613,-0.0879634998525548,-0.1651570944458397,1.0,,,0.0,0.6977324444159554
