date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,param_source,executed_position,cash,units,holdings_value,portfolio_value,strategy_nav,benchmark_nav,daily_return,benchmark_return,excess_return,trade_flag,running_max,drawdown
2024-08-14,000001.SH,2866.24,2866.24,2850.4,2850.65,217885170.0,none,0.0,无信号,hold,1.0,default_cli,1.0,-5.820766091346741e-11,327.50203222620394,933593.6681656283,933593.6681656283,0.9335936681656284,0.9146930380457627,-0.006032183266793112,-0.006032183266793223,1.1102230246251565e-16,False,1.098712445506913,-0.15028388730511177
2024-08-15,000001.SH,2844.2,2889.09,2839.39,2877.36,271900000.0,none,0.0,无信号,hold,1.0,default_cli,1.0000000000000002,-5.820766091346741e-11,327.50203222620394,942341.2474463902,942341.2474463901,0.9423412474463901,0.9232635223374864,0.009369792854261094,0.009369792854261316,-2.220446049250313e-16,False,1.098712445506913,-0.1423222233442326
2024-08-16,000001.SH,2877.94,2888.68,2873.06,2879.43,263653441.0,none,0.0,无信号,hold,1.0,default_cli,1.0,-5.820766091346741e-11,327.50203222620394,943019.1766530983,943019.1766530983,0.9430191766530983,0.9239277268483014,0.0007194094586704392,0.0007194094586704392,0.0,False,1.098712445506913,-0.1417052018392151
2024-08-19,000001.SH,2877.95,2905.15,2877.77,2893.67,261687730.0,none,0.0,无信号,hold,1.0,default_cli,1.0,-5.820766091346741e-11,327.50203222620394,947682.8055919996,947682.8055919996,0.9476828055919996,0.9284969404879175,0.00494542322612479,0.00494542322612479,0.0,False,1.098712445506913,-0.13746057080952867
2024-08-20,000001.SH,2895.55,2896.52,2855.33,2866.66,263658002.0,negative_bubble,0.6044421903770217,强抄底信号 (Strong Buy),hold,1.0,default_cli,1.0000000000000002,-5.820766091346741e-11,327.50203222620394,938836.9757015697,938836.9757015696,0.9388369757015695,0.9198301946728872,-0.009334167337671784,-0.009334167337671562,-2.220446049250313e-16,False,1.098712445506913,-0.14551165817693246
2024-08-21,000001.SH,2858.94,2863.89,2848.15,2856.58,229200027.0,none,0.0,无信号,hold,1.0,default_cli,1.0,-5.820766091346741e-11,327.50203222620394,935535.7552167296,935535.7552167296,0.9355357552167296,0.9165958074897882,-0.0035162872471794504,-0.0035162872471796724,2.220446049250313e-16,False,1.098712445506913,-0.1485162846361484
2024-08-22,000001.SH,2856.2,2861.61,2845.5,2848.77,245399415.0,none,0.0,无信号,hold,1.0,default_cli,1.0000000000000002,-5.820766091346741e-11,327.50203222620394,932977.964345043,932977.9643450428,0.9329779643450429,0.9140897991663751,-0.0027340386056053934,-0.0027340386056052823,-1.1102230246251565e-16,False,1.098712445506913,-0.15084427398599753
2024-08-23,000001.SH,2844.77,2860.73,2839.34,2854.37,226692565.0,none,0.0,无信号,hold,1.0,default_cli,1.0,-5.820766091346741e-11,327.50203222620394,934811.9757255097,934811.9757255097,0.9348119757255097,0.9158866809347634,0.0019657606616190204,0.0019657606616187984,2.220446049250313e-16,False,1.098712445506913,-0.14917503706421076
2024-08-26,000001.SH,2855.47,2860.65,2844.38,2855.52,227351523.0,none,0.0,无信号,hold,1.0,default_cli,1.0,-5.820766091346741e-11,327.50203222620394,935188.6030625699,935188.6030625699,0.9351886030625699,0.9162556834407718,0.00040289100572099557,0.00040289100572099557,0.0,False,1.098712445506913,-0.14883224733920086
2024-08-27,000001.SH,2850.88,2853.78,2843.16,2848.73,230693006.0,negative_bubble,0.603626604828718,强抄底信号 (Strong Buy),hold,1.0,default_cli,1.0000000000000002,-5.820766091346741e-11,327.50203222620394,932964.864263754,932964.8642637539,0.9329648642637539,0.9140769642966009,-0.0023778506191517446,-0.0023778506191516335,-1.1102230246251565e-16,False,1.098712445506913,-0.15085619710686737
