symbol,symbol_name,fast_ma,slow_ma,atr_config,total_return,benchmark_return,annualized_return,annualized_benchmark,annualized_excess_return,max_drawdown,trade_count,holding_ratio,eligible
000016.SH,上证50,10,20,标准ATR,0.11960243225165179,-0.0050496018178567414,0.019303738746151655,-0.0008563982414463434,0.020160136987598,-0.31246169868824736,9,0.9932840832773674,True
000300.SH,沪深300,10,20,标准ATR,0.23794669533055046,0.15454361299222796,0.036785654021200154,0.02461897701270166,0.012166677008498494,-0.289764176683182,6,0.9711215580926796,True
000905.SH,中证500,10,20,标准ATR,0.2110883990347021,0.45251584369556075,0.032943986043120876,0.06521559503868479,-0.032271608995563916,-0.2688506016427684,3,0.9583613163196776,False
000852.SH,中证1000,10,20,标准ATR,0.17261668337005376,0.3873325453112686,0.027315993232897018,0.05697033130590623,-0.029654338073009212,-0.31263302031042495,1,0.9691067830758898,False
932000.SH,中证2000,10,20,标准ATR,0.5105301006052096,0.8093653958427425,0.07229937840822886,0.10556436346807363,-0.033264985059844765,-0.3182627774477732,14,0.9523169912693082,False
000001.SH,上证综指,10,20,长窗口ATR,0.334801797707448,0.28973705804231975,0.05078691422554504,0.04461427037618493,0.0061726438493601155,-0.19677139244962327,13,0.9693669162695712,True
399001.SZ,深证成指,10,20,长窗口ATR,0.0,0.18799825949121218,0.0,0.029993057153837377,-0.029993057153837377,0.0,0,0.9686861810755616,False
399006.SZ,创业板指,10,20,长窗口ATR,0.5307180750413434,0.5029503771193011,0.0757662092578193,0.07239311275556881,0.0033730965022504833,-0.42789955031912374,12,0.9836623553437712,False
000016.SH,上证50,10,20,长窗口ATR,0.1203052526424564,-0.043010897758050226,0.01967887324272155,-0.007513324632236529,0.02719219787495808,-0.26214246045094314,12,0.9680054458815521,True
000300.SH,沪深300,10,20,长窗口ATR,0.2085056713344018,0.08796885835723467,0.03302153248803874,0.014568516085060601,0.01845301640297814,-0.1885101803160094,7,0.9680054458815521,True
000905.SH,中证500,10,20,长窗口ATR,0.2110883990347021,0.34243545124274366,0.033399917491173214,0.051815362855263114,-0.0184154453640899,-0.2688506016427684,3,0.9714091218515998,False
000852.SH,中证1000,10,20,长窗口ATR,0.17261668337005376,0.23020960052344552,0.02769299532009062,0.03618068123075746,-0.008487685910666842,-0.31263302031042495,1,0.9823008849557522,False
932000.SH,中证2000,10,20,长窗口ATR,0.5628302687428488,0.5888259077982627,0.07960442085787545,0.08266398506961314,-0.0030595642117376975,-0.31464515486155065,16,0.9652825051055139,False
000001.SH,上证综指,10,20,短周期ATR,0.3613397734102526,0.36083951098068123,0.053592434969816916,0.05352689954135159,6.553542846532423e-05,-0.2106842478237838,14,0.9650772330423103,True
399001.SZ,深证成指,10,20,短周期ATR,0.0,0.2967351612158451,0.0,0.0449585796445664,-0.0449585796445664,0.0,0,0.9818670248488919,False
399006.SZ,创业板指,10,20,短周期ATR,0.6867112141780942,0.6350233158051395,0.09250799444443203,0.08676846649072556,0.005739527953706469,-0.2768617541813877,5,0.9704499664204164,True
000016.SH,上证50,10,20,短周期ATR,0.16508725686685088,-0.0050496018178567414,0.02619661446535959,-0.0008563982414463434,0.027053012706805935,-0.329145221814512,13,0.9791806581598388,True
000300.SH,沪深300,10,20,短周期ATR,0.12677380765950086,0.15454361299222796,0.02040577417890388,0.02461897701270166,-0.00421320283379778,-0.3655177483364932,10,0.9805238415043653,False
000905.SH,中证500,10,20,短周期ATR,0.21920698345434997,0.45251584369556075,0.03411262681169891,0.06521559503868479,-0.031102968226985883,-0.2649592289971483,3,0.974479516453996,False
000852.SH,中证1000,10,20,短周期ATR,0.20497555461999917,0.3873325453112686,0.032059761625675254,0.05697033130590623,-0.024910569680230976,-0.3044477024896436,1,0.9946272666218939,False
932000.SH,中证2000,10,20,短周期ATR,0.6190344287642107,0.8093653958427425,0.08496250601215882,0.10556436346807363,-0.020601857455914807,-0.22237091194383451,26,0.9241101410342512,False
000001.SH,上证综指,10,20,长周期ATR,0.3245068153681512,0.28973705804231975,0.049392171689847775,0.04461427037618493,0.004777901313662847,-0.2081891657853382,13,0.9707283866575902,True
399001.SZ,深证成指,10,20,长周期ATR,0.0,0.18799825949121218,0.0,0.029993057153837377,-0.029993057153837377,0.0,0,0.9686861810755616,False
