date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,param_source
2025-09-26,000001.SH,3839.86,3856.61,3828.11,3828.11,551275335.0,negative_bubble,0.7255738580384522,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-29,000001.SH,3828.17,3881.0,3809.54,3862.53,608466399.0,negative_bubble,0.7281269268719951,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-30,000001.SH,3869.7,3887.57,3866.28,3882.78,569734631.0,negative_bubble,0.7296485903848111,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-10-09,000001.SH,3898.31,3936.58,3885.74,3933.97,725218501.0,negative_bubble,0.7298179702833549,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-10-10,000001.SH,3915.48,3933.01,3886.31,3897.03,718917673.0,negative_bubble,0.7262180433969017,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-10-13,000001.SH,3800.11,3895.83,3800.11,3889.5,709506101.0,negative_bubble,0.5970376340790091,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-10-14,000001.SH,3910.78,3918.44,3851.12,3865.23,800839631.0,negative_bubble,0.5982737477725095,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-10-15,000001.SH,3867.54,3912.29,3857.67,3912.21,645012955.0,negative_bubble,0.6006187544675243,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-10-16,000001.SH,3900.68,3931.05,3899.17,3916.23,595451491.0,negative_bubble,0.6018287001734808,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-10-17,000001.SH,3912.04,3921.06,3835.36,3839.76,617563018.0,negative_bubble,0.6026614280048496,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-10-20,000001.SH,3865.55,3877.72,3850.37,3863.89,549261712.0,negative_bubble,0.6064442425560322,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-10-21,000001.SH,3870.75,3919.32,3868.15,3916.33,599415713.0,negative_bubble,0.6095866114785627,强抄底信号 (Strong Buy),hold,1.0,default_cli
