symbol,name,window_id,signal_date,market_env,wy_phase,wy_direction,wy_confidence,wy_signal_type,wy_bc,wy_spring,factor_signal,fwd_return,fwd_max_gain,fwd_max_dd,bench_return,excess_return
300710.SZ,万隆光电,7,2021-07-28,structural_low,markdown,空仓观望,B,markdown,True,False,HOLD,131.83,184.89,0.32,6.19,125.64
300710.SZ,万隆光电,8,2021-11-10,rebound_start,markup,持有观察,C,markup,True,False,AVOID,-25.32,14.95,30.55,-11.82,-13.5
300710.SZ,万隆光电,9,2022-04-27,event_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,-2.72,32.27,26.48,4.02,-6.74
300710.SZ,万隆光电,10,2022-10-31,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,3.39,44.48,4.6,13.57,-10.18
300710.SZ,万隆光电,11,2022-12-23,rebound_start,markdown,空仓观望,C,markdown,True,False,HOLD,11.06,20.44,3.11,2.86,8.2
300710.SZ,万隆光电,12,2023-05-25,structural_low,unknown,空仓观望,D,no_signal,False,False,HOLD,-7.72,13.31,16.65,-5.02,-2.7
300710.SZ,万隆光电,13,2023-10-23,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,-16.56,27.04,56.18,2.21,-18.77
300710.SZ,万隆光电,14,2024-02-05,crash_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,7.18,57.07,31.23,8.74,-1.56
300710.SZ,万隆光电,15,2024-05-20,bull_start,unknown,空仓观望,D,no_signal,False,False,HOLD,-13.55,10.97,27.04,-3.95,-9.6
300710.SZ,万隆光电,16,2024-09-13,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,17.49,58.48,3.94,21.64,-4.15
300710.SZ,万隆光电,17,2024-10-08,crash_bottom,markup,持有观察,C,markup,True,False,AVOID,-12.13,13.81,25.79,-7.69,-4.44
300710.SZ,万隆光电,18,2025-01-13,structural_low,markdown,空仓观望,C,markdown,True,False,HOLD,25.06,32.02,15.09,3.48,21.58
300710.SZ,万隆光电,19,2025-03-04,bull_start,unknown,空仓观望,D,no_signal,False,False,HOLD,10.03,26.76,22.31,3.44,6.59
300710.SZ,万隆光电,20,2025-04-07,event_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,34.87,50.6,7.7,17.08,17.79
600936.SH,北投科技,1,2018-10-19,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,37.85,40.88,2.49,21.72,16.13
600936.SH,北投科技,2,2019-01-04,rebound_start,markdown,空仓观望,C,markdown,True,False,HOLD,12.2,61.27,6.37,18.05,-5.85
600936.SH,北投科技,3,2019-08-06,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,-2.24,11.72,15.21,10.9,-13.14
600936.SH,北投科技,4,2020-03-23,event_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,12.97,20.27,6.22,35.28,-22.31
600936.SH,北投科技,5,2020-07-01,bull_start,unknown,空仓观望,D,no_signal,False,False,HOLD,-8.05,19.22,10.13,15.55,-23.6
600936.SH,北投科技,6,2021-03-09,structural_low,unknown,空仓观望,D,no_signal,False,False,HOLD,-4.41,5.08,5.42,2.78,-7.19
600936.SH,北投科技,7,2021-07-28,structural_low,accumulation,观察等待,C,spring,True,True,BUY,-0.38,9.06,4.91,6.19,-6.57
600936.SH,北投科技,8,2021-11-10,rebound_start,markdown,空仓观望,B,markdown,True,False,HOLD,20.69,68.58,0.77,-11.82,32.51
600936.SH,北投科技,9,2022-04-27,event_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,23.18,33.77,6.62,4.02,19.16
600936.SH,北投科技,10,2022-10-31,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,39.93,56.44,0.0,13.57,26.36
600936.SH,北投科技,11,2022-12-23,rebound_start,markup,持有观察,C,markup,True,False,AVOID,29.62,39.0,1.76,2.86,26.76
600936.SH,北投科技,12,2023-05-25,structural_low,unknown,空仓观望,D,no_signal,False,False,HOLD,0.0,33.08,4.33,-5.02,5.02
600936.SH,北投科技,13,2023-10-23,bear_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,-20.39,21.23,39.66,2.21,-22.6
600936.SH,北投科技,14,2024-02-05,crash_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,-18.5,27.17,23.62,8.74,-27.24
600936.SH,北投科技,15,2024-05-20,bull_start,unknown,空仓观望,D,no_signal,False,False,HOLD,-4.65,1.55,25.58,-3.95,-0.7
