date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,lppl_vote,positive_lppl_vote,negative_lppl_vote,trend_buy_vote,trend_sell_vote,vol_buy_vote,vol_sell_vote,drawdown_buy_vote,drawdown_sell_vote,buy_votes,sell_votes,buy_streak,sell_streak,cooldown_remaining,buy_reentry_block_remaining,holding_bars,positive_regime_id,negative_regime_id,atr_ratio,price_drawdown,recent_drawdown_min,vol_position_cap,positive_days_left,negative_days_left,positive_consensus,negative_consensus,param_source
2023-04-21,399001.SZ,11729.8,11751.41,11450.13,11450.43,479311978.0,none,0.0,无信号,hold,1.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,599,0,0,0.8563019462141054,-0.0582126122391573,-0.0582126122391573,1.0,,,0.0,0.0,optimal_yaml
2023-04-24,399001.SZ,11442.38,11452.91,11265.77,11317.01,427155286.0,none,0.0,无信号,hold,1.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,600,0,0,0.8657348161702857,-0.06918628512961222,-0.06918628512961222,1.0,,,0.0,0.0,optimal_yaml
2023-04-25,399001.SZ,11307.09,11320.45,11034.18,11149.01,463773504.0,none,0.0,无信号,hold,1.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,601,0,0,0.9623629328240811,-0.08300413137152818,-0.08300413137152818,1.0,,,0.0,0.0,optimal_yaml
2023-04-26,399001.SZ,11101.18,11244.04,11088.2,11185.68,438565413.0,none,0.0,无信号,hold,1.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,602,0,0,0.9933883109467951,-0.07998805743289095,-0.08300413137152818,1.0,,,0.0,0.0,optimal_yaml
2023-04-27,399001.SZ,11140.89,11258.76,11128.11,11217.0,415685321.0,none,0.0,无信号,hold,1.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,603,0,0,0.998260632167447,-0.07535940385122664,-0.08300413137152818,1.0,,,0.0,0.0,optimal_yaml
2023-04-28,399001.SZ,11228.46,11340.46,11228.46,11338.67,453848625.0,none,0.0,无信号,hold,1.0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,604,0,0,0.9866215459438168,-0.06397267206059964,-0.08300413137152818,1.0,,,0.0,0.0,optimal_yaml
2023-05-04,399001.SZ,11310.35,11329.0,11242.12,11273.87,482011992.0,none,0.0,无信号,hold,1.0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,605,0,0,0.9884732999231954,-0.06932202704231027,-0.08300413137152818,1.0,,,0.0,0.0,optimal_yaml
2023-05-05,399001.SZ,11260.62,11262.33,11124.91,11180.87,442026270.0,none,0.0,无信号,hold,1.0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,606,0,0,1.029198499946622,-0.07699934206235792,-0.08300413137152818,1.0,,,0.0,0.0,optimal_yaml
2023-05-08,399001.SZ,11206.33,11234.92,11158.83,11225.77,439329142.0,none,0.0,无信号,hold,1.0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,607,0,0,0.9901773121437177,-0.07329276739138868,-0.08300413137152818,1.0,,,0.0,0.0,optimal_yaml
2023-05-09,399001.SZ,11208.74,11265.33,11121.97,11125.02,481338002.0,none,0.0,无信号,hold,1.0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,608,0,0,1.0235580869883574,-0.081609858663107,-0.08300413137152818,1.0,,,0.0,0.0,optimal_yaml
2023-05-10,399001.SZ,11101.01,11177.81,11043.36,11140.19,394663045.0,none,0.0,无信号,hold,1.0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,609,0,0,1.0554577375197183,-0.08035754824532071,-0.08300413137152818,1.0,,,0.0,0.0,optimal_yaml
2023-05-11,399001.SZ,11158.72,11200.91,11136.26,11142.53,385308783.0,none,0.0,无信号,hold,1.0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,610,0,0,1.0513706975676225,-0.08016437709320345,-0.08300413137152818,1.0,,,0.0,0.0,optimal_yaml
2023-05-12,399001.SZ,11131.3,11172.71,11004.26,11005.64,367693644.0,none,0.0,无信号,hold,1.0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,611,0,0,1.0781305283735738,-0.09006245586997541,-0.09006245586997541,1.0,,,0.0,0.0,optimal_yaml
2023-05-15,399001.SZ,11019.7,11178.62,10995.7,11178.62,384684379.0,none,0.0,无信号,hold,1.0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,612,0,0,1.1200401301003988,-0.07341943804820461,-0.09006245586997541,1.0,,,0.0,0.0,optimal_yaml
2023-05-16,399001.SZ,11182.36,11182.36,11069.44,11099.26,353743511.0,none,0.0,无信号,hold,1.0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,613,0,0,1.0253368269354497,-0.0726350617448992,-0.09006245586997541,1.0,,,0.0,0.0,optimal_yaml
